"id","text","rating","afinn","lsd","vader"
1,"  tiny hooks",1,0,0,0
2,"    brought  vacuum   says  screw  bag   bottom   vacuum cleaner   never put  screw holes   button   vacuum cleaner  screw  bag !",1,0.4,-0.2,0.293
3,"    work......   know  boiler   far gone,     stop  leakage.    worth  effort    try  bottles.",1,0.1,0.333,-0.077
4,"   work   well    moving.",1,0,1,0.273
5,"  first  bottle  used gave   ghost  3 weeks. leaked    place    work.  contained  mixture  vinegar, water,   bleach...nothing    caused  amount  deteriation...save  bucks  go elsewhere..",1,0,-1,-0.557
6,"   light  therefore   scrub  tile grout lines  well  .",1,0,1,0.273
7,"   se em  pi ck  di rt ve ry  ll  . broom wo uld wo rk better",1,0.4,1,0.44
8,"   fit  blades properly.  kinda dangerous  try  use.",1,0.2,0.333,-0.079
9,"   fix anything... weak .",1,-0.4,-1,-0.44
10,"   purchased  pump less  60 day ago    laying   van   snow today 12/4/13 troubleshooting    start.  checked  filter,  pump runs    pump fuel,   trickle   carb. hope    fluke   ordered another one today.  local napa  one  wanted   hundred dollars     complaining    .  read  one    reviews   pump   one year warranty    able  find    use . amazon seems     30 day return policy.",1,0.4,0,0.542
11,"     vacuum  replace  .5 hp shopvac   used  years.  straight    box,  new 4.5 hp vacuum seemed    working.   expected 3x  suction,   got /10  suction   old vacuum.    pick   paper clip.   changed filters  tried  bag,   still  working.   contacted shop-vac   mailed   new motor     install .   installed ,   still  pick   toothpick.   contacted shop-vac .   said    likely  obstruction   hose.  pretending    offended,  agreed  check  hose,    clear.   said, sorry",1,-0.033,-0.5,0.572
12,"    fit,  sending  back",1,0.2,1,0.361
13,"   owned  original sonicare  years   loved .      model,  expected   good performance     original.    sorely disappointed   fact   screw  brush heads  flimsy   screw    base unit securely.   found  transfer   ultra-sonic vibrations  dampened   fact   brush heads  remain tightly connected   base unit.   using  model   year,   receiving negative feedback   dental hygienist.   ended  buying another brand  electronic toothbrush  still  getting  results  expected.  finally   sonicare flexcare model  snap  style heads.   model works beautifully.    recommend    sonicare products  screw  style brush heads   continuously loosen    base unit  degrades  performance.   snap  style heads available   sonicare models remain securely attached   base unit  therefore, transfer  ultrasonic vibrations   brush head   teeth  effectively.",1,0.175,-0.333,0.904
14,"  wrong size,  idea  plat form  different sizes.",1,-0.4,-1,-0.477
15,"   clips  like    rest.   try  compress   connect  something  slip   rubber coating     pain  actually use ",1,0,0.333,-0.202
16,"   teeth   line   difficult  use     rebend  teeth line   can catch hair,  use  clean  dogs ears  hair growth.  disappointed :(",1,0.05,-0.333,-0.494
17,"   waste  money  thees slippery little devils",1,-0.2,-1,-0.736
18,"   fan blade  damaged  (bent)    motor   turn.  since     blade,    way  bend  back  shape without breaking .",1,0.6,-1,-0.153
19,"  arrived broken.",1,-0.2,-1,-0.477
20,"  doesnt fit even though  states   fit  unit   /  larger.",1,0.2,1,0.1
21,"   disappointed   defective part, work now looking  another one,  go   basement  turn  heater manually every hour    zero chicago temperature",1,-0.4,-1,-0.718
22,"  wrong size!!!  much  hassle  return!",1,-0.4,-1,-0.645
23,"    one   15 years ago   napa store.   always worked great   temperature reading  always consistent  four  thermometers   garage   trust .  ordered  one  another job site.  thermometer  calibrated  india   always 5  6 degrees fahrenheit higher  four  thermometers   garage including  gas furnace thermometer.    trust  calibration   new thermometer.  also   trust anything  india.  know   unit  made  china     calibration certificate  foil calibration stamp  india.",1,0.3,0.667,0.933
24,"   nails  shipped within reasonable . however  frameing nailer  scheduled   shipped later.  hadna project scheduled   nailer  scheduled outside  date  need. therefore  nailer  canceled  thennails   work   nailer purchased locally.nthe frameing nailer   shipped twice even though  order  cancelled.  times    refused.",1,-0.3,0,-0.494
25,"   fragile peg board clips.    broken  shiped.",1,-0.2,-1,-0.477
26,"   work  ",1,0,0,0
27,"   chose  rating     lower rating.  standard (conventional) bulb  came   flashlight  brighter  produces  far better pattern.",1,0.4,1,0.511
28,"  screw  cap pops  ugh!!",1,0,-1,-0.584
29,"     50va,   75va.   transformer   large enough   application.",1,0,0,0
30,"   good   mount sink clips.  liquidity.",1,0.6,0,0.44
31,"  cheap, worst peg hook   ever seen,   person   can see    get",1,-0.6,0,-0.625
32,"  0  3  .  great  storing liquid...terrible  spraying liquid.   three sent  duds.",1,0,0,0.625
33,"      give     star      ps4     x box one  order  twice  go   thing twice  rate     get ",1,0,0,0
34,"     good      one stripe  goes      trying  carry --one stripe   enough     keep  balance     safety comes   question.   use   anything  . wasted  money,  high hopes    disappointed.nnfor  safety aspect   never recommend   -- otherwise  used good material    say.",1,0.286,0.5,0.836
35,"    honest,  fact      anything  actually hold  pads   ridiculous.    use  get   polish  residue   wood floors.   waste.   returning  even though   lose money  .nit   good.   cheap.    love   shark sonic duo now   see  else   ()",1,0.16,0.25,0.527
36,"   work  metal pegboard",1,0,0,0
37,"   expect    good - slippery -  control  amount.",1,0.6,0,0.44
38,"  nails looked like   just thrown   box.     screw shank!nvery disappointed  ...take  advice    order   people   ",1,0,-0.333,-0.316
39,"  ,  , .  poor. save  money.",1,0,-1,0.026
40,"    like playing slip  slide  moving 200+ lbs  [insert noun ]?  ,      ! essentially suspenders + somewhat functioning stopper mechanism +  piece  fabric = shoulder dolly.nnthe stopping mechanism slips... uhh, goodbye fingers!nthe shoulders can  shoulder  much, hello back pain!nthe piece  fabric  secure anything --  .nna design overhaul  needed. good  super muscular dudes.",1,0.233,0.333,0.915
41,"   slightly rusted    even lock . absolutely useless.",1,-0.4,-1,-0.475
42,"  description says   22-/4 wide.   needed   fit   22 item   .  otherwise,     perfect.",1,0.4,1,0.735
43,"    received  .  got 25 lids   two cups.  thought  package stated 25 lids  cups.   wanted  exchange    right amount  amazon  allows   return .   happy  ",1,0.6,1,0.66
44,"  moves  v e r y  slowly, seems like  dinosaur compared   philips sonic care.   work well  .   like  small round head, either.  trashed mine.",1,0.4,0.6,0.852
45,"    cheaply made.     well.   sorry   .",1,-0.2,0.333,0.202
46,"   first six months  great,  needed  replace  bag . however  vacuum lost  power switch yesterday. turned    started cleaning ,     turn    switch   work! try  try   thing   turn .   unplugged    wall.  reason    big deal   someone pays close  100 dollars      last   six months,    reason    plug  back   unplug    sparks  least half inch long coming   outlet.     hurt someone,   make  outlet   house  good either.  far  care goes   well maintained. bag change  belt (   need one   never worked long enough).   worth 90 dollars, .   take  top   look   motor  power switch  held together  cardboard.   switch  cheap    wonder   quit working. checked  see     replacement switch,  guess , eureka  discontinued  belts  bags,   power switch.    bring    end,  20ft power cord  short,  bag beings  smell  ,  , switch fails,   thing     power. save  money    cheaper bissell  hoover bagged uprights.   money  offer .",1,0.16,0.5,0.875
47,"   box  carton falls apart   try  install  real let ",1,0,0,0
48,"    rate     recieved .  recieved  stapler     staples yet.nralph lloyd",1,0,0,0
49,"  regret  purchased   bottles. although    acceptable  screw- cap leaks  matter  much  tighten .  bottle always seems wet   outside   contents.   bottle happens  fall sideways,   leak fluid    surface   store .",1,-0.133,-0.5,-0.494
50,"   poor ! feel apart  first  used.",1,-0.4,-1,-0.525
51,"  stiff . hard  affix   feel  secure.",1,0.1,0,0.25
52,"  mr. heater claims   work  low  high pressure systems.    work  high prssure  claimed. blows orings !",1,-0.2,-1,-0.556
53,"   outdoor use  rusted  firts watering.",1,0,0,0
54,"  horrible .  work   automotive industry  tried using ,  half    open somewhere   wire   work.  others  3-5ohms resistance.   virtually nothing.",1,-0.6,0,-0.542
55,"  sprayer broke within  week.   really disappointed.",1,-0.3,-1,-0.735
