"id","text","rating","afinn","lsd","vader"
1,"fit connect heater hot max hose now open, open turn!",1,0.2,1,0.42
2,"poor, screw easily spray nozzle sometime detach bottle..",1,-0.4,-0.333,-0.273
3,"purchase 3 february use spray bleach sink toilet clean purpose. one last month, last 3 months 3rd one last month back september try find something else. maybe bleach? maybe want water might work. worry anymore. buy.",1,0,-0.5,0.026
4,"careful item like. important model design compact fluorescent bulb. particular model design incandescent bulb. sun hit light sensor, begin flick dim eventual turn mid - day. sensor essentially behave like dimmer. sometime light bulb reflect light sensor result dimming bulb. \ n \ nchoose different brand model design use compact fluorescent lightbulbs. electricity sensor flow nothing fashion, bulb appear dimmed. like automatic dawn dusk controller, light reflect sensor can still affect function vice; case cause intermittent blink random / behavior. \ n \ nmany factor affect function vice. sometime shape color light fixture. sometime length light bulb tensity bulb. also like appearance lightbulb lengthen vice. solute different model / brand ( big box store ) design compact fluorescent bulb. wrote view similar find work use short l bulb. mileage vary.",1,0.371,-0.231,0.925
5,"follow instruction precise tell squeak reduce... like joist find. use project.",1,0.4,1,0.361
6,"box receive 50 % staple broken, amazon ply complaint, pay,!!!",1,-0.2,-0.333,-0.707
7,"good mount sink clip. liquidity.",1,0.6,0,0.44
8,"bad good dang suck never ever",1,-0.2,-0.333,-0.542
9,"receive tab broken back stall easily",1,-0.3,0,-0.361
10,"hop get good deal toothbrush. use braun toothbrush head 7 year now, never bristle separate brush head. 4 package last month bristle separate brushhead ( getting caught tee ). \ n \ ni suspect either: fake, factory second ( reject ).",1,-0.1,-0.667,-0.625
11,"son buenos.",1,0,0,0
12,"nail shipped within reason. however frameing nailer schedule shipped late. \ na project schedule nailer schedule outside date need. therefore nailer cancel \ nnails work nailer purchase local. \ nthe frameing nailer shipped twice even though order cancelled. time fuse.",1,-0.2,0,-0.459
13,"pack three two three broke light usage. suggest purchase bottle. poor manufacture.",1,-0.3,-1,-0.71
14,"picture add make look like getting part.. careful! search faucet adapt end open / close valve!",1,0.4,1,0.57
15,"meet expectation. boy school show right size. s toolbox!!!",1,0,1,0
16,"work great thank",1,0.5,1,0.765
17,"never use got turn seem work went use, work contact sell never got response.. waste money..",1,-0.2,-1,0.325
18,"use. proper size.",1,0,1,0
19,"worst - 3 broke, whoever heard bottle break? run car, fill water pull trigger cause break. ye break. look cool, another bottle.",1,-0.2,-1,-0.681
20,"4 year ago one several purchase hole. ma see worth 20$ year. feel sure other leak soon, 10$ glad...",1,0.267,0.333,0.586
21,"nothing else say - - l nice upgrade, barrel it short make tact power connection. maglite 10 year old; apparent, consider, posit, view, common problem.",1,0.1,0.5,0.477
22,"wrong size!!! much hassle turn!",1,-0.4,-1,-0.645
23,"use.",1,0,0,0
24,"receive item within two day. fortunate, come hard quire cutting get package. turn item use. work. soon try apply brush tee second, die., put back charger second day. die try brush tee. change head, just case. die. now trash.",1,-0.3,-0.714,-0.893
25,"terrible!",1,-0.6,-1,-0.525
26,"pump two day became noisy. road 500 mile home choice visit local auto store place. happy travel.",1,0.2,1,0.459
27,"use mini floor scrubber live room floor half way stopped work. handle short, it light good floor",1,0.2,1,0.25
28,"waste money never order fitting, go stick metal ductwork ground everything good.",1,0.2,0,0.026
29,"sent without handle. someone fail department.",1,-0.4,-1,0.431
30,"30 year never garbage. doz time drywall drive stripped head box screw, two brand screw happen. either grip - rite gone new cheap chinese factory, counterfeit. complete waste money, brought job site complete halt. better running screw.",1,0.1,-0.5,-0.273
31,"duct fan use! two day fan start make terrible racket, place. advertise like new.",1,0.25,0,0.509
32,"weak power piece junk ever. low cfm output open back - draft damp - -",1,-0.4,-0.333,-0.612
33,"metal tip broke right try clamp onto something even thick.",1,-0.2,0,-0.421
34,"arrive state. however, 9v battery include ( state ), try new battery, faulty just beep continuous. contact amazon ( fulfill order ) reimburse within 3 day technology alternative company behalf. com come good instruction / manual. made light / material.",1,0.5,0.6,0.637
35,"grip - rite screw size horrible. break right torque hard, thread jagged piece metal bare hand expect get metal splint",1,-0.4,-0.6,-0.273
36,"damn the try glue faux diamond glass!..",1,-0.3,-1,-0.151
37,"yep, charge additional $30+ process test indicate anywhere package. necessary service, honest tell charge.",1,0.4,-0.333,0.67
38,"junk",1,0,-1,0
39,"new model anything like one. date, prov rough gum tissue anywhere good job clean tee old model. add insult jury, place battery. battery worn, just throw it away. say, stay away it.",1,0.16,0,0.382
40,"might work well jack,... \ ndoes work \ post popper \ even though suggest. \ n \ n [ ps: post popper work well! ]",1,0,1,0.541
41,"useless enough power anything.",1,-0.4,-1,-0.421
42,"4 l - bracket. expensive",1,0,0,0.459
43,"last matte hour require activate 300 3 hour. can become quite cost just keep humidity safe.",1,0.2,1,0.44
